season,team,segment,seg_games,seg_off_roll3_mean,seg_def_roll3_mean,seg_net_roll3_mean,cluster_id,cluster_name
2020,WAS,G1-4,4,-0.10092790673176448,-0.017154452701409657,-0.08377345403035481,2,Cluster_2
2020,WAS,G13+,5,-0.06624715219562252,-0.12552849302689234,0.05928134024143219,1,Cluster_1
2020,WAS,G5-8,4,-0.09874506543080012,0.07355662373205026,-0.17230169319858155,2,Cluster_2
2020,WAS,G9-12,4,0.04783515430366,-0.027841089603801567,0.075676245149225,0,Cluster_0
2021,ARI,G1-4,4,0.06761770571271579,-0.13034655153751373,0.19796425849199295,1,Cluster_1
2021,ARI,G13+,6,-0.030670942324731082,0.01975188585412171,-0.05042282574706608,2,Cluster_2
2021,ARI,G5-8,4,0.08394302241504192,-0.13526707670340934,0.21921009880801043,1,Cluster_1
2021,ARI,G9-12,4,0.022511085495352745,-0.06238786410540342,0.08489894680678844,1,Cluster_1
2021,ATL,G1-4,4,-0.15689979555706182,0.03446225946148237,-0.1913620556394259,2,Cluster_2
2021,ATL,G13+,5,-0.04820284446080526,0.027196028828620912,-0.07539887328942617,2,Cluster_2
2021,ATL,G5-8,4,0.056218158143262066,0.09201934095472097,-0.035801184053222336,0,Cluster_0
2021,ATL,G9-12,4,-0.2212865431793034,0.013729870008925596,-0.23501640853161615,2,Cluster_2
2021,BAL,G1-4,4,0.038466114550828934,0.0424268674881508,-0.0039607516179482145,0,Cluster_0
2021,BAL,G13+,5,0.017713101704915364,0.04688297646741073,-0.02916987550755342,0,Cluster_0
2021,BAL,G5-8,4,0.08240906242281199,-0.0356953131655852,0.11810437776148319,0,Cluster_0
2021,BAL,G9-12,4,-0.049943453942735985,0.015479714920123414,-0.06542316886285941,2,Cluster_2
2021,BUF,G1-4,4,0.03891157855590185,-0.18793091550469398,0.2268424928188324,1,Cluster_1
2021,BUF,G13+,7,0.06723812062825475,-0.07244823518253507,0.1396863574073428,1,Cluster_1
2021,BUF,G5-8,4,0.12672114620606106,-0.22187130463620025,0.34859245518843335,1,Cluster_1
2021,BUF,G9-12,4,0.02908067715664705,-0.06620694076021513,0.09528762102127075,1,Cluster_1
2021,CAR,G1-4,4,0.014021128260840973,-0.20766212542851767,0.22168325384457907,1,Cluster_1
2021,CAR,G13+,5,-0.16289254625638325,0.02696493777136008,-0.18985748092333474,2,Cluster_2
2021,CAR,G5-8,4,-0.09480230933210501,-0.09119854184488455,-0.003603768224517509,1,Cluster_1
2021,CAR,G9-12,4,-0.15647234115749598,-0.12621239308888713,-0.03025994698206584,2,Cluster_2
2021,CHI,G1-4,4,-0.20692343761523566,-0.01682126211623351,-0.19010216991106668,2,Cluster_2
2021,CHI,G13+,5,-0.0835685243209203,-0.01538443254927794,-0.06818409264087677,2,Cluster_2
2021,CHI,G5-8,4,-0.06599702196156916,-0.024433723442295253,-0.04156329731146494,2,Cluster_2
2021,CHI,G9-12,4,-0.06218632139886419,0.09974246534208456,-0.16192878813793263,2,Cluster_2
2021,CIN,G1-4,4,-0.08114968550701936,-0.1173088550567627,0.03615917141238848,1,Cluster_1
2021,CIN,G13+,9,0.04841764334209816,-0.010058075120603598,0.05847572024773668,0,Cluster_0
2021,CIN,G5-8,4,0.054707771477599934,-0.03596261780088147,0.09067038881282011,0,Cluster_0
2021,CIN,G9-12,4,0.02684591780416667,-0.06129736453294754,0.08814328357887766,1,Cluster_1
2021,CLE,G1-4,4,0.12518607887128988,-0.011797888825337092,0.13698396583398184,0,Cluster_0
2021,CLE,G13+,5,-0.09672239124774933,-0.025269899765650434,-0.07145249048868815,2,Cluster_2
2021,CLE,G5-8,4,0.013635631340245405,-0.008521010478337601,0.02215664306034644,0,Cluster_0
2021,CLE,G9-12,4,-0.02267944005628427,0.02218079473823309,-0.04486023013790449,2,Cluster_2
2021,DAL,G1-4,4,0.06711072971423467,-0.053432896733284,0.1205436239639918,1,Cluster_1
2021,DAL,G13+,6,0.02603467145106859,-0.15859250434570843,0.18462718029816946,1,Cluster_1
2021,DAL,G5-8,4,0.10150473502775033,-0.08411132528757057,0.18561606171230474,1,Cluster_1
2021,DAL,G9-12,4,-0.032443380914628506,-0.11834607770045599,0.08590269461274147,1,Cluster_1
2021,DEN,G1-4,4,0.11918343013773362,-0.1561021755139033,0.2752856065829595,1,Cluster_1
2021,DEN,G13+,5,-0.02026838511228561,-0.015593225617582602,-0.004675165315469109,0,Cluster_0
2021,DEN,G5-8,4,-0.02658834975833694,0.0034506684169173206,-0.03003901895135641,2,Cluster_2
2021,DEN,G9-12,4,0.01834131001184384,-0.021558256819844246,0.03989956403772037,0,Cluster_0
2021,DET,G1-4,4,-0.031358125153928995,0.11868079130848248,-0.15003891785939535,2,Cluster_2
2021,DET,G13+,5,-0.035922945352892074,0.03458423390984535,-0.07050717597206434,2,Cluster_2
2021,DET,G5-8,4,-0.06680181178671774,0.06896133410433927,-0.13576314287881056,2,Cluster_2
2021,DET,G9-12,4,-0.1833061994984746,0.04015466943383217,-0.2234608605504036,2,Cluster_2
2021,GB,G1-4,4,0.057998672127723694,0.13666221390788755,-0.07866354286670685,0,Cluster_0
