date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,result,goal_diff_home
2023-09-07,Norway,Jordan,6,0,Friendly,Oslo,Norway,False,home_win,6
2023-09-07,Qatar,Kenya,1,2,Friendly,Al Wakrah,Qatar,False,away_win,-1
2023-09-07,Wales,South Korea,0,0,Friendly,Cardiff,Wales,False,draw,0
2023-09-07,Ghana,Central African Republic,2,1,African Cup of Nations qualification,Kumasi,Ghana,False,home_win,1
2023-09-07,Algeria,Tanzania,0,0,African Cup of Nations qualification,Annaba,Algeria,False,draw,0
2023-09-07,Tunisia,Botswana,3,0,African Cup of Nations qualification,Radès,Tunisia,False,home_win,3
2023-09-07,France,Republic of Ireland,2,0,UEFA Euro qualification,Paris,France,False,home_win,2
2023-09-07,Netherlands,Greece,3,0,UEFA Euro qualification,Eindhoven,Netherlands,False,home_win,3
2023-09-07,Czech Republic,Albania,1,1,UEFA Euro qualification,Prague,Czech Republic,False,draw,0
2023-09-07,Iraq,India,2,2,King's Cup,Chiang Mai,Thailand,True,draw,0
2023-09-08,Haiti,Cuba,0,0,CONCACAF Nations League,Santo Domingo,Dominican Republic,True,draw,0
2023-09-08,Uruguay,Chile,3,1,FIFA World Cup qualification,Montevideo,Uruguay,False,home_win,2
2023-09-08,Brazil,Bolivia,5,1,FIFA World Cup qualification,Belém,Brazil,False,home_win,4
2023-09-08,Costa Rica,Saudi Arabia,3,1,Friendly,Newcastle,England,True,home_win,2
2023-09-08,Egypt,Ethiopia,1,0,African Cup of Nations qualification,Cairo,Egypt,False,home_win,1
2023-09-08,Georgia,Spain,1,7,UEFA Euro qualification,Tbilisi,Georgia,False,away_win,-6
2023-09-08,Cyprus,Scotland,0,3,UEFA Euro qualification,Larnaca,Cyprus,False,away_win,-3
2023-09-08,Croatia,Latvia,5,0,UEFA Euro qualification,Rijeka,Croatia,False,home_win,5
2023-09-08,Turkey,Armenia,1,1,UEFA Euro qualification,Eskişehir,Turkey,False,draw,0
2023-09-08,Bosnia and Herzegovina,Liechtenstein,2,1,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,home_win,1
2023-09-08,Slovakia,Portugal,0,1,UEFA Euro qualification,Bratislava,Slovakia,False,away_win,-1
2023-09-09,Germany,Japan,1,4,Friendly,Wolfsburg,Germany,False,away_win,-3
2023-09-09,Mexico,Australia,2,2,Friendly,Arlington,United States,True,draw,0
2023-09-09,South Africa,Namibia,0,0,Friendly,Johannesburg,South Africa,False,draw,0
2023-09-09,United States,Uzbekistan,3,0,Friendly,St. Louis,United States,False,home_win,3
