stats_source,stats_complete,parsed_stat_count,match_id,match_url,team_side,team_name,opponent_side,opponent_name,attacking__possession,attacking__possession__in_contest,attacking__goal__total,attacking__goal__conceded,attacking__goal__inside_the_penalty_area,attacking__goal__outside_the_penalty_area,attacking__goal__assists,attacking__attempts_at_goal__total,attacking__attempts_at_goal__on_target,attacking__attempts_at_goal__off_target,attacking__attempts_at_goal__inside_the_penalty_area,attacking__attempts_at_goal__outside_the_penalty_area,attacking__final_third_entries__left_channel,attacking__final_third_entries__left_inside_channel,attacking__final_third_entries__central_channel,attacking__final_third_entries__right_inside_channel,attacking__final_third_entries__right_channel,attacking__offers_to_receive__total,attacking__offers_to_receive__in_behind,attacking__offers_to_receive__in_between,attacking__offers_to_receive__in_front,attacking__offers_to_receive__receptions_between_midfield_and_defensive_lines,attacking__offers_to_receive__receptions_behind_the_defensive_line,attacking__line_breaks__attempted_line_breaks,attacking__line_breaks__completed_line_breaks,attacking__line_breaks__attempted_defensive_line_breaks,attacking__line_breaks__completed_defensive_line_breaks,attacking__discipline__yellow_cards,attacking__discipline__red_cards,attacking__discipline__fouls_against,attacking__discipline__offsides,attacking__distribution__passes,attacking__distribution__passes_completed,attacking__distribution__crosses,attacking__distribution__crosses_completed,attacking__distribution__switches_of_play_completed,attacking__set_plays__corners,attacking__set_plays__free_kicks,attacking__set_plays__penalties_scored,defending__own_goals,defending__forced_turnovers,defending__pressing_applied
FIFA Official Stats,True,41,400021490,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021490,home,France,away,Senegal,49%,7% in contest,3,1,2,1,2,11,8,1,7,4,26,3,9,6,15,373,106,114,153,87,10,202,138,24,11,0,0,5,1,584,516,9,0,4,6,12,0,0,54,277
FIFA Official Stats,True,41,400021490,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021490,away,Senegal,home,France,44%,7% in contest,1,3,1,0,1,6,2,3,4,2,9,5,4,9,19,350,106,140,104,84,11,194,127,20,11,0,0,9,3,521,453,11,2,8,4,6,0,0,39,308
FIFA Official Stats,True,41,400021488,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021488,home,Iraq,away,Norway,34%,10% in contest,1,4,1,0,1,11,1,9,8,3,10,5,6,3,6,310,108,123,79,64,12,146,82,21,11,1,0,12,1,347,286,9,3,4,2,13,0,1,42,288
FIFA Official Stats,True,41,400021488,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021488,away,Norway,home,Iraq,57%,10% in contest,4,1,3,0,2,11,5,5,10,1,17,6,9,7,18,355,73,133,149,90,17,189,136,30,16,0,0,13,0,548,493,17,6,3,5,13,0,0,31,173
FIFA Official Stats,True,41,400021496,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021496,home,Argentina,away,Algeria,44%,6% in contest,3,0,1,2,2,10,6,3,3,7,14,5,8,6,5,421,81,175,165,84,8,158,115,11,8,0,0,13,3,578,517,5,1,2,2,8,0,0,46,288
FIFA Official Stats,True,41,400021496,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021496,away,Algeria,home,Argentina,50%,6% in contest,0,3,0,0,0,7,1,4,3,4,24,10,8,8,13,472,101,221,150,88,6,159,127,13,7,0,0,8,1,634,578,8,0,5,2,16,0,0,40,332
FIFA Official Stats,True,41,400021498,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021498,home,Austria,away,Jordan,53%,14% in contest,3,1,1,1,1,10,4,4,5,5,26,10,10,8,14,468,111,201,156,116,15,197,134,20,14,1,0,12,3,587,499,17,4,2,4,7,1,0,54,206
FIFA Official Stats,True,41,400021498,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021498,away,Jordan,home,Austria,33%,14% in contest,1,3,1,0,1,11,4,4,7,4,18,3,3,3,13,295,92,117,86,79,5,153,77,11,4,0,0,7,1,344,254,15,4,5,3,15,0,1,55,322
FIFA Official Stats,True,41,400021502,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021502,home,Portugal,away,Congo DR,68%,7% in contest,1,1,1,0,1,7,1,4,5,2,31,4,1,3,30,491,167,173,151,144,19,225,171,28,18,3,0,9,3,804,740,23,6,12,5,12,0,0,29,183
FIFA Official Stats,True,41,400021502,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021502,away,Congo DR,home,Portugal,25%,7% in contest,1,1,1,0,1,8,2,5,2,6,6,7,3,6,12,253,77,106,70,73,3,141,65,19,4,1,0,10,2,268,214,10,1,3,4,12,0,0,42,407
FIFA Official Stats,True,41,400021507,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021507,home,England,away,Croatia,48%,9% in contest,4,2,4,0,3,22,11,5,20,2,8,4,8,1,16,399,98,148,153,82,12,153,94,22,11,0,0,10,0,482,421,15,8,0,8,12,1,0,36,262
FIFA Official Stats,True,41,400021507,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021507,away,Croatia,home,England,43%,9% in contest,2,4,1,1,2,10,5,3,4,6,13,4,9,3,8,280,81,112,87,79,7,160,99,19,8,0,0,12,1,459,399,12,2,3,2,10,0,0,35,295
FIFA Official Stats,True,41,400021510,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021510,home,Ghana,away,Panama,35%,10% in contest,1,0,1,0,1,7,2,3,6,1,17,5,5,5,17,226,76,69,81,77,13,146,94,20,12,1,0,9,4,362,304,17,6,7,2,12,0,0,49,294
FIFA Official Stats,True,41,400021510,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021510,away,Panama,home,Ghana,55%,10% in contest,0,1,0,0,0,11,4,4,6,5,26,3,5,5,14,424,95,182,147,85,9,213,123,19,8,2,0,11,1,597,526,21,3,11,2,13,0,0,48,201
FIFA Official Stats,True,41,400021504,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021504,home,Uzbekistan,away,Colombia,33%,11% in contest,1,3,1,0,0,8,2,3,4,4,13,9,1,5,5,289,66,139,84,63,6,157,87,17,6,1,0,14,0,334,267,11,2,7,3,14,0,0,32,264
FIFA Official Stats,True,41,400021504,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021504,away,Colombia,home,Uzbekistan,56%,11% in contest,3,1,3,0,3,15,4,7,9,6,15,7,11,3,15,461,116,175,170,88,5,155,81,21,3,1,0,11,3,534,469,18,6,8,4,14,0,0,31,160
FIFA Official Stats,True,41,400021440,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021440,home,Czechia,away,South Africa,32%,8% in contest,1,1,1,0,1,14,3,5,11,3,18,7,7,3,7,261,76,119,66,89,7,174,105,17,6,1,0,12,2,352,279,15,8,4,5,13,0,0,41,343
FIFA Official Stats,True,41,400021440,https://www.fifa.com/en/match-centre/match/17/285023/289273/400021440,away,South Africa,home,Czechia,60%,8% in contest,1,1,1,0,0,17,4,6,6,11,14,8,7,10,15,472,138,181,153,95,8,193,127,14,8,2,0,10,3,584,518,16,3,6,5,13,1,0,44,233
